"Espacio";"Asalariados";"Percepciones  por persona";"Salarios";"Salario  Medio Anual";"sexo";"edad";"nacionalidad";"erte"
"Canarias";9436;1,08;166774556;17674;"Total";"Mayor de 65 años";"Total";"Total"
"Cantabria";2601;1,08;46359080;17824;"Total";"Mayor de 65 años";"Total";"Total"
"Castilla y León";12737;1,07;211484393;16604;"Total";"Mayor de 65 años";"Total";"Total"
"Castilla - La Mancha";8489;1,09;111359391;13118;"Total";"Mayor de 65 años";"Total";"Total"
"Cataluña";56430;1,1;1000849865;17736;"Total";"Mayor de 65 años";"Total";"Total"
"Comunitat Valenciana";21614;1,11;397516896;18392;"Total";"Mayor de 65 años";"Total";"Total"
"Extremadura";4226;1,12;52345482;12387;"Total";"Mayor de 65 años";"Total";"Total"
"Galicia";12347;1,09;277448292;22471;"Total";"Mayor de 65 años";"Total";"Total"
"Madrid, Comunidad de";37587;1,12;1048147264;27886;"Total";"Mayor de 65 años";"Total";"Total"
"Murcia, Región de";5843;1,13;117464804;20104;"Total";"Mayor de 65 años";"Total";"Total"
"Rioja, La";1654;1,12;27750834;16778;"Total";"Mayor de 65 años";"Total";"Total"
"Ceuta";470;1,07;11075127;23564;"Total";"Mayor de 65 años";"Total";"Total"
"Melilla";419;1,13;10855464;25908;"Total";"Mayor de 65 años";"Total";"Total"
"Total";16688768;1,33;376497918910;22560;"Total";"Total";"Española";"Total"
"Andalucía";3173372;1,45;57489179856;18116;"Total";"Total";"Española";"Total"
"Aragón";505442;1,28;11759065698;23265;"Total";"Total";"Española";"Total"
"Asturias, Principado de";360393;1,27;8206634445;22771;"Total";"Total";"Española";"Total"
"Balears,Illes";414844;1,27;8816989197;21254;"Total";"Total";"Española";"Total"
"Canarias";772903;1,26;14592536049;18880;"Total";"Total";"Española";"Total"
"Cantabria";214609;1,27;4622647967;21540;"Total";"Total";"Española";"Total"
"Castilla y León";893408;1,28;19170488091;21458;"Total";"Total";"Española";"Total"
"Castilla - La Mancha";782086;1,33;15793314162;20194;"Total";"Total";"Española";"Total"
"Cataluña";2932418;1,31;75119222031;25617;"Total";"Total";"Española";"Total"
"Comunitat Valenciana";1844775;1,33;38412814935;20822;"Total";"Total";"Española";"Total"
"Extremadura";418181;1,46;7021593115;16791;"Total";"Total";"Española";"Total"
"Galicia";994194;1,28;21072440972;21196;"Total";"Total";"Española";"Total"
"Madrid, Comunidad de";2668853;1,29;79611994849;29830;"Total";"Total";"Española";"Total"
"Murcia, Región de";545365;1,33;10999334210;20169;"Total";"Total";"Española";"Total"
"Rioja, La";110458;1,28;2403051796;21755;"Total";"Total";"Española";"Total"
"Total";2285479;1,63;31809840202;13918;"Total";"Total";"Extranjera";"Total"
"Andalucía";301114;1,94;3203333490;10638;"Total";"Total";"Extranjera";"Total"
"Aragón";89620;1,68;1152467228;12859;"Total";"Total";"Extranjera";"Total"
"Asturias, Principado de";17321;1,55;211148301;12190;"Total";"Total";"Extranjera";"Total"
"Balears,Illes";100354;1,41;1379496354;13746;"Total";"Total";"Extranjera";"Total"
"Canarias";101420;1,41;1079747876;10646;"Total";"Total";"Extranjera";"Total"
"Cantabria";15102;1,56;176683467;11699;"Total";"Total";"Extranjera";"Total"
"Castilla y León";73549;1,61;873229833;11873;"Total";"Total";"Extranjera";"Total"
"Castilla - La Mancha";97121;1,98;1104764360;11375;"Total";"Total";"Extranjera";"Total"
"Cataluña";575892;1,49;9668029200;16788;"Total";"Total";"Extranjera";"Total"
"Comunitat Valenciana";272887;1,66;3303099464;12104;"Total";"Total";"Extranjera";"Total"
"Extremadura";18363;3,1;149360602;8134;"Total";"Total";"Extranjera";"Total"
"Galicia";48619;1,55;603679985;12417;"Total";"Total";"Extranjera";"Total"
"Madrid, Comunidad de";440922;1,48;7403316516;16791;"Total";"Total";"Extranjera";"Total"
"Murcia, Región de";107258;1,99;1201999812;11207;"Total";"Total";"Extranjera";"Total"
"Rioja, La";19059;1,73;231466073;12145;"Total";"Total";"Extranjera";"Total"
"Total";17793113;1,37;391573942872;22007;"Total";"Total";"Total";"No"
"Andalucía";3299254;1,51;58457363910;17718;"Total";"Total";"Total";"No"
"Aragón";563759;1,35;12388904048;21976;"Total";"Total";"Total";"No"
"Asturias, Principado de";351103;1,28;8056413098;22946;"Total";"Total";"Total";"No"
"Balears,Illes";442886;1,32;9149935835;20660;"Total";"Total";"Total";"No"
"Canarias";771624;1,29;14607513462;18931;"Total";"Total";"Total";"No"
"Cantabria";216082;1,29;4591345605;21248;"Total";"Total";"Total";"No"
"Castilla y León";907879;1,31;19208565218;21158;"Total";"Total";"Total";"No"
"Castilla - La Mancha";841656;1,41;16391857244;19476;"Total";"Total";"Total";"No"
"Cataluña";3255071;1,34;80802244199;24823;"Total";"Total";"Total";"No"
"Comunitat Valenciana";1983864;1,35;39860770403;20092;"Total";"Total";"Total";"No"
"Extremadura";420186;1,54;6983136879;16619;"Total";"Total";"Total";"No"
"Galicia";976141;1,29;20750456679;21258;"Total";"Total";"Total";"No"
